emotion,TN,FP,FN,TP
anger,1853,305,167,934
anticipation,2493,341,252,173
disgust,1891,269,256,843
fear,2712,62,159,326
joy,1480,337,134,1308
love,2289,454,83,433
optimism,1632,484,156,987
pessimism,2743,141,265,110
sadness,2116,183,326,634
surprise,3002,87,128,42
trust,2904,202,109,44
